news_outlet,tweet_date,tweet_text,username,compound,positive,negative,neutral,date
@BBCNews,Sun Dec 17 09:34:38 +0000 2017,Shadow Home Secretary @HackneyAbbott tells @MarrShow that she does not want second #Brexit referendum for electorat… https://t.co/8RO9R3gPsZ,BBCNews,-0.0572,0.0,0.071,0.929,2017-12-17 09:34:38
@CBSNews,Sun Dec 17 09:33:10 +0000 2017,Two hungry polar bears scavenge for food at Alaska airport https://t.co/R29rbsQoJ3 https://t.co/DUCAxjgNv1,CBSNews,0.0,0.0,0.0,1.0,2017-12-17 09:33:10
@CNN,Sun Dec 17 09:30:12 +0000 2017,"The vote to roll back #netneutrality rules was slammed by tech giants like Amazon, Facebook and Netflix.

It was ap… https://t.co/15k5EiOhg6",CNN,0.4939,0.181,0.0,0.819,2017-12-17 09:30:12
@BBCNews,Sun Dec 17 09:28:25 +0000 2017,"""Bureaucracy is the real problem"" - Labour's @HackneyAbbott on Brexit @MarrShow

 https://t.co/5G66970yd5 #Marr https://t.co/wLw2yDD5mE",BBCNews,-0.4019,0.0,0.184,0.816,2017-12-17 09:28:25
@CNN,Sun Dec 17 09:18:08 +0000 2017,"A suicide bomber attacked a church packed with worshipers Sunday in Pakistan, killing 7 people and injuring more th… https://t.co/vPzsVBiI5V",CNN,-0.9001,0.071,0.444,0.485,2017-12-17 09:18:08
@CBSNews,Sun Dec 17 09:18:07 +0000 2017,"Interior Secretary Ryan Zinke removes four ""senior leaders"" for inappropriate behavior https://t.co/BHQkCTCxcc https://t.co/EF9FgAJ95A",CBSNews,0.0,0.0,0.0,1.0,2017-12-17 09:18:07
@CBSNews,Sun Dec 17 09:03:04 +0000 2017,"Harvey Weinstein responds to Salma Hayek's ""Frida"" allegations https://t.co/GwwL9VJgL1 https://t.co/yjXNoMfS9F",CBSNews,0.0,0.0,0.0,1.0,2017-12-17 09:03:04
@CNN,Sun Dec 17 09:01:27 +0000 2017,"Lisa McNair's sister was killed in the '63 Alabama Baptist Church bombing. Years later, then a US attorney, Doug Jo… https://t.co/zoYFVZy1Qw",CNN,-0.6705,0.0,0.191,0.809,2017-12-17 09:01:27
@BBCNews,Sun Dec 17 08:56:57 +0000 2017,Strictly Come Dancing 2017 final: Winner crowned https://t.co/G6aygcmsTO,BBCNews,0.5859,0.352,0.0,0.648,2017-12-17 08:56:57
@CBSNews,Sun Dec 17 08:48:05 +0000 2017,"Good Samaritan stops would-be car burglar in his tracks, police say https://t.co/5HdZO4OS5y https://t.co/eXQ0P39SPL",CBSNews,0.3182,0.187,0.103,0.71,2017-12-17 08:48:05
@CBSNews,Sun Dec 17 08:33:06 +0000 2017,Report: Pentagon program investigated reports of UFOs https://t.co/unRCjEIK4a https://t.co/cNNTpgz3Cw,CBSNews,0.0,0.0,0.0,1.0,2017-12-17 08:33:06
@BBCNews,Sun Dec 17 08:32:27 +0000 2017,'Very serious' crash closes major Birmingham road https://t.co/CChiKau1Ux,BBCNews,-0.5531,0.0,0.432,0.568,2017-12-17 08:32:27
@CNN,Sun Dec 17 08:31:42 +0000 2017,Two paintings by Renaissance artist Raphael have been discovered at the Vatican — after being hidden for 500 years… https://t.co/mcaf4lmrpQ,CNN,0.0,0.0,0.0,1.0,2017-12-17 08:31:42
@CBSNews,Sun Dec 17 08:18:08 +0000 2017,Republicans revel in all-but-certain tax deal https://t.co/C0NvkQthTj https://t.co/OsTSJQd7PI,CBSNews,0.0,0.0,0.0,1.0,2017-12-17 08:18:08
@CBSNews,Sun Dec 17 08:03:05 +0000 2017,"AP: More than $600,000 spent on police gear for pipeline protests https://t.co/JksCxvVDin https://t.co/tkbAMnj9YD",CBSNews,-0.2263,0.0,0.137,0.863,2017-12-17 08:03:05
@CNN,Sun Dec 17 08:00:46 +0000 2017,This 500-year-old mystery at the Vatican has finally been solved https://t.co/ObyOTrzUPe https://t.co/uWRgu4N7ZX,CNN,0.2732,0.16,0.0,0.84,2017-12-17 08:00:46
